,Unnamed: 0,PROPERTY_ID,MARKETID,MARKET_NAME,SUBMARKET_CODE,SUBMARKET_NAME,COUNTY_NAME,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_DATECOMPLETED,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,PROPERTY_RENTPERSQFT,PROPERTY_RENTPERSQFTALLUNITS,mean_submarket,min_submarket,max_submarket,mean_market,min_market,max_market,Censustract
1170,4091,2_346,2,Tucson,7,North Central,Pima,"Treehouse, The",Sunrise,3636 North Campbell Avenue,Tucson,AZ,85719,32.2727853,-110.9433071,167,96780,3.84,B,B-,2016-01-01 00:00:00,97.6,1028,0.01062202934490597,1.773878900599297,1.484871876349937,1.217906448418477,1.773878900599297,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 27.02
1171,4094,2_390,2,Tucson,12,Near East,Pima,Wilmot Vista,,3225 South Wilmot Road,Tucson,AZ,85730,32.18445,-110.857243,197,112135,6.51,C+,C+,1984-01-01 00:00:00,95.9,895,0.007981450929682972,1.572345833147546,1.329705748699251,1.11565191660202,1.638926174496644,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 40.34
1172,4096,2_4,2,Tucson,6,Far East,Pima,Green Leaf at Broadway,Broadway Gardens,8880 East Broadway Blvd,Tucson,AZ,85710,32.2204795,-110.8030855,184,134064,4.3,C+,B-,1980-08-15 00:00:00,96.7,961,0.007168218164458766,1.318952142260413,1.41322119442271,1.041220792299283,1.860810254173633,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 40.49
1173,4102,2_442,2,Tucson,9,Tucson Mountain Foothills,Pima,"View at Starr Pass, The","Ledges at West Campus, The, Casa de Colinas",2162 West Speedway Blvd,Tucson,AZ,85745,32.236923,-111.0122011,205,230284,14.42,B,B+,1997-01-01 00:00:00,95.6,1157,0.005024230949610047,1.02996734467006,1.362239778679391,1.02996734467006,1.641132389675271,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 44.14
1174,4103,2_457,2,Tucson,8,Flowing Wells,Pima,255 North,La Entrada,255 North Granada Avenue,Tucson,AZ,85701,32.2242156,-110.9780026,186,169718,8.14,B+,C+,1984-01-01 00:00:00,98.4,1808,0.01065296550748889,1.981451584392934,1.487158370861505,1.063215809566584,1.981451584392934,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 2
1175,4117,2_644,2,Tucson,2,Oro Valley - Catalina,Pima,Legacy at Dove Mountain,,12100 North Mountain Centre Road,Marana,AZ,85658,32.426121,-111.075569,168,147540,8.65,A,B-,2011-10-17 00:00:00,95.8,1597,0.01082418327233293,1.818462789751932,1.804249464638524,1.68380213385063,1.87643747486932,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 46.50
1176,4119,2_668,2,Tucson,3,Northwest,Pima,Avilla Preserve,Avilla Preserve at Orange Grove,2501 West Orange Grove Road,Tucson,AZ,85741,32.3231458,-111.0205844,186,181516,23.24,A-,B,2014-04-14 00:00:00,93.5,1807,0.009955045285264108,1.851638423059124,1.603175487784558,1.055719862770614,1.909840378880898,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 46.10
1177,4121,2_677,2,Tucson,3,Northwest,Pima,Avilla Marana I,Aerie 4050,4050 West Aerie Drive,Tucson,AZ,85741,32.3343685,-111.0511062,166,165812,6.96,A-,B,2013-02-12 00:00:00,96.4,1905,0.01148891515692471,1.907159916049502,1.603175487784558,1.055719862770614,1.909840378880898,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 46.13
1178,4123,2_699,2,Tucson,6,Far East,Pima,"Place at Presidio Trails, The",,9190 East Old Spanish Trail,Tucson,AZ,85710,32.208584,-110.797277,208,213863,10.8,A-,B,2016-06-28 00:00:00,97.6,1455,0.006803420881592422,1.415111543371224,1.41322119442271,1.041220792299283,1.860810254173633,1.553800834492584,1.02996734467006,2.886767866887926,Census Tract 40.49
1179,4155,8_370899,8,Denver,42,Loveland,Larimer,Pinyon Pointe,,451 14th Street SE,Loveland,CO,80537,40.379163,-105.07111,166,125355,10.52,A-,C+,2018-05-01 00:00:00,94.0,1598,0.0127477962586255,2.116134178931834,1.929361824944916,1.698077080882956,2.240795120849334,2.193409950720428,1.198782033230076,3.755428320322598,Census Tract 17.10
